Date,Open,High,Low,Close
01-01-1996,3114.08,3127.94,3114.08,3127.94
02-01-1996,3130.16,3131.37,3108.14,3111.96
03-01-1996,3114.08,3114.83,3086.53,3088.4
04-01-1996,3088.86,3088.86,3049.55,3072.41
05-01-1996,3067.56,3067.56,3041.82,3048.86
08-01-1996,3041.43,3048.89,3003.19,3003.19
09-01-1996,2990.48,3002.69,2972.87,3001.03
10-01-1996,2990.69,3012.64,2990.69,2997.33
11-01-1996,2991.56,3023.85,2991.56,3021.99
12-01-1996,3022.11,3035.4,3009.25,3010.21
15-01-1996,3018.59,3029.96,3018.59,3022.51
16-01-1996,3019.52,3019.76,3008.27,3015.48
17-01-1996,2997.84,2997.84,2962.91,2962.91
18-01-1996,2936.89,2948.55,2919.65,2940.4
19-01-1996,2933.59,2941.82,2910.08,2918.21
22-01-1996,2925.08,2936.15,2923.39,2926.78
23-01-1996,2933.09,2935.51,2896.7,2896.7
24-01-1996,2885.02,2885.02,2823.28,2838.57
25-01-1996,2829.08,2841.8,2820.26,2826.08
29-01-1996,2823.32,2874.98,2823.32,2872.18
30-01-1996,2889.39,2936.68,2889.39,2909.92
31-01-1996,2944.25,2951.63,2920.84,2931.84
01-02-1996,2929.04,3001.42,2929.04,3001.42
02-02-1996,3034.89,3173.59,3034.89,3172.83
05-02-1996,3176.02,3249.03,3176.02,3233.32
06-02-1996,3221.47,3242.78,3154.89,3154.89
07-02-1996,3169.14,3202.49,3124.78,3202.49
08-02-1996,3222.73,3384.15,3222.73,3380.04
09-02-1996,3477.61,3485.87,3422.29,3470.53
12-02-1996,3495.05,3520.73,3450.54,3471.68
13-02-1996,3456,3527.84,3431.49,3527.84
14-02-1996,3597.91,3607.27,3577.6,3581
15-02-1996,3541.98,3582.24,3538.07,3542.12
16-02-1996,3538.49,3538.49,3474.76,3499.06
19-02-1996,3502.01,3513.98,3483.33,3483.33
20-02-1996,3480.76,3486.31,3451.96,3453.8
22-02-1996,3463.49,3503.75,3463.49,3500.48
23-02-1996,3500.94,3517.77,3469.08,3492.95
26-02-1996,3538.88,3571.55,3538.1,3538.1
27-02-1996,3534.96,3534.96,3510.91,3519.29
28-02-1996,3536.03,3536.85,3491.77,3494.09
29-02-1996,3474.31,3474.31,3388.45,3391.99
01-03-1996,3391.08,3417.81,3385.15,3417.81
04-03-1996,3417.35,3417.35,3400.09,3402.05
06-03-1996,3407.86,3424.65,3392.74,3424.65
07-03-1996,3426.92,3435.85,3383.92,3383.92
08-03-1996,3369.13,3369.13,3339.57,3344.64
11-03-1996,3306.28,3306.28,3282.08,3291.65
12-03-1996,3310.1,3311.86,3295.29,3299.9
13-03-1996,3315.26,3374.8,3315.26,3373.73
14-03-1996,3387.77,3404.29,3372.74,3386.05
15-03-1996,3383.78,3383.78,3343.27,3343.27
18-03-1996,3337.2,3337.2,3287.78,3292.21
19-03-1996,3287.14,3296.41,3255.89,3256.08
21-03-1996,3258.8,3302.42,3258.8,3291.43
22-03-1996,3288.75,3288.75,3225.78,3238.71
25-03-1996,3249.51,3249.51,3223.59,3226.02
26-03-1996,3214.49,3245.3,3210.7,3242.78
27-03-1996,3269.38,3311.27,3269.38,3309.85
29-03-1996,3326.65,3368.85,3326.65,3366.61
02-04-1996,3376.64,3414.61,3376.64,3409.69
03-04-1996,3428.07,3431.85,3407.47,3407.47
04-04-1996,3383.79,3410.28,3376.91,3410.28
05-04-1996,3402.97,3443.86,3402.97,3443.86
08-04-1996,3476.38,3488,3466.12,3485.75
09-04-1996,3490.73,3508.58,3479.29,3485.63
10-04-1996,3492.58,3497.7,3469.94,3469.94
11-04-1996,3454.95,3467.82,3453.63,3464.33
12-04-1996,3459.12,3487.7,3458.84,3487.51
15-04-1996,3527.01,3550.6,3527.01,3543.66
16-04-1996,3561.72,3597.9,3561.72,3590.54
17-04-1996,3599.09,3723.26,3599.09,3718.91
18-04-1996,3729.78,3782.21,3715.55,3737.86
22-04-1996,3759.51,3811.52,3703.68,3710.79
23-04-1996,3697.89,3728.76,3673.29,3728.76
24-04-1996,3745.68,3870.14,3745.68,3869.87
25-04-1996,3886.6,3950.82,3831.27,3836.91
26-04-1996,3823.8,3829.69,3713.54,3765.11
30-04-1996,3797.49,3826.72,3791.98,3826.72
02-05-1996,3827.6,3862.8,3809.61,3845.48
03-05-1996,3848.12,3848.12,3780.54,3785.51
06-05-1996,3788.33,3788.33,3700.54,3712.87
08-05-1996,3710.91,3780.9,3658.91,3767.25
09-05-1996,3763.23,3763.23,3692.86,3694.3
10-05-1996,3661.71,3698.91,3628.62,3694.39
13-05-1996,3717.56,3751.77,3711.46,3750.37
14-05-1996,3747.19,3814.12,3726.98,3810.13
15-05-1996,3793.14,3796.29,3728.86,3796.29
16-05-1996,3816.03,3879.55,3816.03,3823.11
17-05-1996,3819.09,3819.09,3783.63,3795.96
20-05-1996,3788.17,3788.17,3691.75,3694.29
21-05-1996,3677.01,3690.07,3659.23,3671.95
22-05-1996,3674.38,3704.25,3669.81,3685.85
23-05-1996,3679.89,3688.47,3667.73,3683.99
24-05-1996,3686.66,3727.58,3686.66,3709.25
27-05-1996,3704.96,3704.96,3649.28,3653.1
28-05-1996,3650.31,3650.31,3578.29,3636.01
29-05-1996,3635.56,3742.86,3635.56,3740.45
30-05-1996,3745.95,3767.86,3694.2,3700.62
31-05-1996,3709.7,3733.44,3701.39,3724.97
03-06-1996,3731.96,3803.03,3731.96,3799.01
04-06-1996,3804.43,3841.79,3785.88,3793.46
05-06-1996,3791.23,3814.58,3760.44,3813.05
06-06-1996,3826.89,3860.91,3826.89,3830.31
07-06-1996,3826.46,3869.57,3824.06,3866.21
10-06-1996,3864.12,3909.04,3864.12,3889.34
11-06-1996,3883.31,3914.81,3870.45,3914.28
12-06-1996,3915.33,3972.38,3915.33,3939.2
13-06-1996,3939.22,3978.9,3936.8,3965.44
14-06-1996,3968.48,4052.9,3968.48,4049.39
17-06-1996,4053.59,4131.22,4053.59,4067.29
18-06-1996,4067.29,4077.6,4026.84,4069.26
19-06-1996,4067.78,4067.78,3977.89,3980.04
20-06-1996,3979.88,4002.66,3933.96,3995.2
